part	groupCount	sourceText
2	1	Cukinie po bolońsku
2	1	Curry dyniowo-ziemniaczane
2	1	Curry krem z ciecierzycą
2	1	Curry po kreolsku
2	1	Curry z dynią i ciecierzycą
2	1	Curry z krewetkami
2	1	Curry z krewetkami i zielonym groszkiem
2	1	Curry z kurczaka
2	1	Curry z mintajem
2	1	Curry z ryżem, ciecierzycą i tofu
2	1	Curry z soczewicą i kalafiorem
2	1	Currywurst
2	10	Cykoria
2	1	Cynamonowe francuskie tosty-paluszki
2	1	Cytrynowe deserki
2	1	Cytrynowy kurczak z ryżem
2	1	Cytrynowy ryż z łososiem
2	1	Cytrynowy sernik z ricotty
2	1	Czarna soczewica beluga z krewetkami
2	1	Czarny las
2	1	Czarny ryż z mleczkiem kokosowym
2	1	Czekoladowa gryczanka z gruszką
2	1	Czekoladowa owsianka z cukinią
2	1	Czekoladowe ciastka podróżne
2	1	Czekoladowo-pomarańczowy sernik
2	1	Czereśnie gotowane w likierze
2	8	Czerwona kapusta
2	1	Czerwona zasmażana kapusta
2	1	Czosnkowa maczanka krakowska
2	1	Czosnkowe krewetki
2	1	Dahl z czerwonej soczewicy
2	1	Danie z kiełbasą
2	1	Delikatna szynka z indyka
3	1	Delikatne pulpeciki z śmietanowym serkiem
3	1	Delikatny drobiowy krupnik
3	1	Deser piernikowy
3	1	Deser szarlotkowy na ciepło z lodami
3	1	Deser z jabłek i kiwi
3	1	Deser z mango i tapioką
3	1	Devolay z boczniakami i camembertem
3	1	Dhal z soczewicy z cebulą
3	1	Dhal z soczewicy z dorszem
3	1	Dhal z soczewicą, batatami i szpinakiem
3	1	Dip z bakłażana i sezamu
3	1	Dip z papryki i sera feta
3	1	Domowa oliwa bazyliowa
3	1	Domowe sezamki z siemieniem lnianym i słonecznikiem
3	1	Domowy ser topiony
3	1	Domowy sos barbecue
3	8	Dorada
3	9	Dorsz
3	1	Dorsz panierowany z komosą ryżową
3	1	Dorsz w mleczku kokosowym
3	1	Dorsz z kruszonką i chorizo
3	1	Drobiowe curry
3	15	Drób
3	1	Drób w sosie pissaladière
3	1	Duszona wieprzowina z tofu
3	1	Duszona wołowina z cebulą i kasztanami
3	1	Duszone cykorie z szynką i sosem
3	1	Duszone grzyby w winie z gorgonzolą
3	1	Duszone młode cebulki w boczku w miodowym sosie
3	1	Duszony kurczak z anyżem
3	1	Duszony szpinak z czosnkiem
3	1	Dynia faszerowana grzybkami
3	8	Dynia olbrzymia
3	8	Dynia piżmowa
3	1	Dynia z pomarańczą
3	1	Dyniowe risotto
3	1	Dyniowy creme brulee z szafranem
3	1	Dyniowy dip
3	1	Dyniowy makaron z kurczakiem
3	1	Dżem truskawkowy
3	1	Dżem z pomidorów i chilli
3	1	Ekspresowa fasolka szparagowa
3	1	Ekspresowa świąteczna zupa grzybowa
3	1	Ekspresowe edamame
3	1	Ekspresowe pieczone ziemniaki
3	1	Ekspresowy hotpot
3	1	Ekspresowy orientalny makaron udon
3	1	Ekspresowy pudding ryżowo-karmelowy
3	1	Ekspresowy sernik z sosem klonowym
3	1	Empanada wołowa
3	1	Empanady z wołowiną
3	1	Falafele z czerwonej fasoli
3	1	Farfalle alla trapanese
3	1	Farsz do ryby po grecku
3	1	Fasola masłowa z oliwkami
3	8	Fasola szparagowa
3	3	Fasola wielokwiatowa
3	1	Fasolka po bretońsku
3	1	Faszerowana cielęcina z warzywami
3	1	Faszerowana pierś z indyka
3	1	Faszerowane bataty
3	1	Faszerowane papryki z dorszem
3	2	Faszerowane pieczarki
3	1	Feta z pieczoną dynią
3	1	Fettuccini z przegrzebkami
3	1	Figi zapiekane pod kruszonką
3	1	Filet z dorsza w sosie bazyliowym z puree ziemniaczanym
3	1	Filet z kurczaka z pomidorami i mozzarellą wg Elżbiety Bogusz
3	1	Fit leczo z indykiem
3	1	Flaczki z boczniaków
3	1	Flan bananowy z sosem waniliowym
3	1	Flan cytrynowy z orzechami piniowymi
3	1	Flan w stylu quiche lorraine
3	1	Flan z białą czekoladą
3	1	Flan z mleczka kokosowego
3	1	Flan z wędzonym halibutem w werynkach
3	1	Focaccia
3	1	Fondant czekoladowy
3	1	Fondant z orzechami laskowymi
3	1	Francuska zupa cebulowa wg Pati
3	1	Frittata z serkiem wiejskim
3	1	Frytki z batatów z parmezanem i granatem
3	1	Frytki z polenty z parmezanem
3	1	Frytki z selera z dipem czosnkowym
3	1	Frytki z ziemniaków
3	1	Galaretka z melona i imbiru
3	1	Galaretka z papai i mango
3	1	Gazpacho na ciepło lub na zimno
3	1	Gazpacho z ogórkiem
3	1	Glazurowana marchewka
3	1	Gnocchi carbonara z groszkiem
3	1	Gnocchi carbonara ze śmietaną
3	1	Gnocchi w ziołach z pomidorami
3	1	Gnocchi z białymi szparagami
3	1	Gnocchi z kurczakiem i szpinakiem
3	1	Gnocchi z kurczakiem po toskańsku
3	1	Gnocchi z pieczarkami i szynką
3	1	Gnocchi z pomidorami i szafranem
3	1	Golonka w kapuście
3	1	Golonka wieprzowa w sosie jabłkowo-selerowo-imbirowym
4	1	Gotowane jajka z warzywami
4	1	Gotowane zimowe owoce
4	1	Gołąbki azjatyckie
4	1	Grecka sałatka z komosą ryżową
4	1	Grecka sałatka ziemniaczana
4	1	Grecka zupa z ciecierzycy
4	1	Grillowany oscypek z szynką parmeńską
4	1	Groszek z bekonem
4	9	Groszek zielony
4	9	Gruszka
4	1	Gruszki gotowane w syropie
4	1	Gruszki w czekoladzie
4	1	Grzanki z karmelizowanym porem
4	25	Grzyb
4	1	Gulasz normandzki
4	1	Gulasz warzywny
4	1	Gulasz według Kiszki Ziemniaczanej
4	1	Gulasz wieprzowy
4	1	Gulasz wieprzowy z pieczarkami
4	1	Gulasz wołowy Stroganow
4	1	Gulasz wołowy w japońskim stylu
4	1	Gulasz wołowy w sosie musztardowo-chrzanowym
4	1	Gulasz wołowy z makaronem konjac
4	1	Gulasz wołowy z miso
4	1	Gulasz wołowy z rabarbarem
4	1	Gulasz wołowy z zielem angielskim
4	1	Gulasz węgierski
