part	groupCount	sourceText
3	1	Crumble aux pêches
3	1	Crumble de figues rôties
3	2	Crème amande et miel
3	1	Crème au caramel
3	1	Crème au chocolat blanc
3	1	Crème au miel et curcuma
3	1	Crème aux œufs
3	1	Crème brûlée au chocolat
3	1	Crème choco praliné orange
3	1	Crème chocolat café
3	1	Crème chocolat noir absolu
3	1	Crème chou rave & pois cassés
3	1	Crème chou-fleur & pois cassés
3	1	Crème coco cœur choco
3	1	Crème de maïs et coco
3	1	Crème de poireaux aux cèpes
3	1	Crème dessert à la vanille
3	1	Crème d’artichaut
3	1	Crème paysanne au Kiri®
3	1	Crème renversée au chocolat
3	1	Crème renversée gourmande
3	1	Crèmes aux œufs et fraises
3	2	Crèmes mouhalabieh
3	1	Crémeux cacao au chou-fleur
3	1	Crémeux cappuccino
3	1	Crémeux compote de pomme
3	1	Cupcakes au gingembre
3	1	Cur'riz, pois chiche & tofu
3	1	Curry aubergine et pois chiche
3	1	Curry d'agneau patate douce
3	1	Curry de chou-fleur noix de cajou et coriandre
3	1	Curry de crevettes
3	1	Curry de haricots blancs
3	1	Curry de légumes
3	1	Curry de pois chiches et patates douces
3	1	Curry de tofu
3	1	Curry et gambas et petits pois
3	1	Curry rouge Veggie
3	1	Curry vert au saumon
3	1	Cur’riz pois chiche et tofu
3	8	Céleri rave
3	1	Côtelettes d'agneau citron
3	1	Cœur coulant au chocolat
3	1	Dahl de chou-fleur & lentilles
3	1	Dahl de lentilles corail végétalien
3	1	Dahl de lentilles et oignons
3	1	Dahl patates douces
3	1	Dauphine de maïs
3	1	Dip tex-mex
3	1	Douceur de polenta
3	1	Dulce de leche
3	1	Duo de dips apéritifs
3	1	Edamame express
3	1	Emincés de soja et poivron
3	2	Empanadas de bœuf
3	1	Enchiladas veggie
3	1	Encornets & Polenta
3	1	Encornets méditerranéens
3	13	Endive
3	1	Endives fondantes
3	1	Fajitas by Chef Fred
3	1	Falafels haricots rouges
3	1	Far aux mirabelles
3	1	Far aux pruneaux
3	1	Far aux pruneaux familial
3	1	Farfalle alla trapanese
3	12	Fenouil
3	1	Fettuccini roquette graines
3	1	Fetuccini aux Saint-Jacques
3	1	Feuilletés poisson surprise
3	1	Filet de poisson aux amandes
3	1	Filet de poulet
3	1	Filet mignon aux champignons
3	1	Filet mignon pommes de terre
3	2	Fish and chips
3	1	Flan au citron et pignons
3	1	Flan au jambon & moutarde
3	1	Flan au lait de coco
3	1	Flan aubergines & olives
3	1	Flan aux légumes et gruyère
3	1	Flan coco au chocolat
3	1	Flan coco choco
3	1	Flan courgette et mascarpone
3	1	Flan de laitue au munster
3	1	Flan espresso
3	1	Flan façon quiche lorraine
3	1	Flan façon tiramisù
3	1	Flan noisettes sans lactose
3	1	Flan poire chocolat caramel
3	1	Flans au surimi
3	1	Fleurs de pomme
3	1	Fondant au gianduja
3	1	Fondant chou-fleur choco blanc
3	1	Fondant noir framboises
3	1	Fondant praliné
3	1	Fondue de poireaux truffe
3	1	Forêt noire
4	1	"Fraises en ""chantilly"" pomme"
4	1	Frites de betterave
4	1	Frites de feta
4	1	Frites de légumes
4	1	Frites de panais au paprika
4	1	Frites de patate douce
4	1	Frites de pommes de terre
4	1	Frites polenta parmesan
4	1	Frittata aux courgettes et à la feta
4	1	Frittata de légumes
4	1	Frittata verte à la vapeur
4	1	Fruits au vin rouge épicés
4	2	Fusilli au saumon
4	1	Gambas au pesto d'artichaut
4	1	Gaspacho crevettes fenouil
4	1	Gaspacho vert glacé
4	1	Gelée papaye mangue
4	1	Gnocchi aux asperges blanches
4	1	Gnocchi carbonara et crème
4	1	Gnocchis champignons jambon
4	1	Gnocchis petits pois carbonara
4	1	Goulash de raie au safran
4	1	Gouters de la semaine
4	1	Gratin au Mont d'Or
4	1	Gratin chou-fleur & Beaufort
4	1	Gratin dauphinois
4	1	Gratin dauphinois aux lardons
4	2	Gratin de courgettes
4	1	Gratin de pain perdu
4	1	Gratin de patates douces
4	1	Green tea rice bowl
4	1	Grenailles façon César
4	1	Gyoza au poulet de Charline
4	1	Gâteau au citron
4	1	Gâteau au yaourt
4	1	Gâteau aux vers de terre
4	1	Gâteau carotte orange
4	1	Gâteau choco cookies
4	1	Gâteau choco courgette
4	1	Gâteau choco de voyage
4	1	Gâteau chocolat banane
4	1	Gâteau citron framboise
4	1	Gâteau de riz au lait au caramel
4	1	Gâteau de riz à l’italienne
4	1	Gâteau de semoule crétois
4	1	Gâteau de semoule turc
4	1	Gâteau express à l’orange
4	1	Gâteau invisible aux pommes
4	1	Gâteau miel et cannelle
4	1	Gâteau monstre
4	1	Gâteau petit pirate
4	1	Gâteau polenta et orange
4	1	Gâteau pommes caramel
4	1	Gâteau renversant ananas
4	1	Gâteau renversant aux pommes
4	1	Gâteau zèbre choco café
4	1	Gâteau à la pêche
4	1	Gâteaux aux cerises
4	1	Gâteaux de riz & légumes
4	1	Hachis parmentier andouillette
4	1	Halva à la semoule
4	1	Halwa vanille et cardamome
4	1	Hamburger végétarien
4	4	Haricot d'Espagne
4	8	Haricot vert
4	1	Haricots beurre aux olives
4	1	Haricots blancs à l'italienne
4	1	Haricots verts express
4	1	Hibachi de poulet
4	1	Houmous carotte sésame
4	1	Houmous de chou-fleur
4	1	Hummus
4	1	Indian One Pot Pasta
4	1	Involtini de sole, sauce pesto
4	1	Irish vegan stew
4	1	Iron compote
4	1	Jalapeno poppers
