part	groupCount	sourceText
8	7	Zucca Butternut
9	1	Zucca e zucchine
9	1	Zucca mandorle e amaretti
9	10	Zucchina
9	1	Zucchine e gamberetti
9	1	Zucchine filanti
9	1	Zucchine menta e zafferano
9	1	Zucchine ripiene
9	1	Zucchine tonde ripiene
9	1	Zuppa con i funghi
9	1	Zuppa di carote
9	1	Zuppa di cavolo nero
9	1	Zuppa di cipolla
9	1	Zuppa di cipolle alla francese
9	1	Zuppa di crescione e ricotta
9	1	Zuppa di fagioli e capesante
9	1	Zuppa di insalata
9	1	Zuppa di lenticchie
9	1	Zuppa di lenticchie piccante
9	1	Zuppa di lenticchie rosse
9	1	Zuppa di patate e funghi
9	1	Zuppa di piselli
9	1	Zuppa di ricotta e crescione
9	1	Zuppa di triglie e gattuccio
9	1	Zuppa Tex-Mex
9	1	Zuppetta di fasolari
9	1	Zuppetta di pesce
